,mean_x,max_x,min_x,sd_x,mean_y,max_y,min_y,sd_y,mean_z,max_z,min_z,sd_z,act,time,time0_start,time1_finish
40,-0.227132231404959,-0.153,-0.306,0.0459650124458376,0.53399173553719,0.651,0.421,0.0475153476727553,9.78918181818182,9.791,9.788,0.000707106781186322,SITTING,2019-06-13 02:03:00,2019-06-13 02:02:25,2019-06-13 02:27:41
41,-7.16154918032787,-6.129,-9.146,0.937209027924996,-0.470377049180328,2.652,-2.873,0.988901463540667,-6.31504098360656,-4.146,-7.565,0.839152596939967,SITTING,2019-06-13 02:04:00,2019-06-13 02:02:25,2019-06-13 02:27:41
42,-8.8460962962963,-6.924,-10.17,0.587213923668674,0.312733333333333,2.566,-1.934,0.408458025026997,-4.90471851851852,-2.624,-6.646,0.496453145973558,SITTING,2019-06-13 02:05:00,2019-06-13 02:02:25,2019-06-13 02:27:41
43,-0.210942583732057,-0.114,-0.344,0.0418565149214451,0.52844019138756,0.651,0.383,0.0456372350503415,9.78929186602871,9.79,9.788,0.000559859925169878,SITTING,2019-06-13 02:06:00,2019-06-13 02:02:25,2019-06-13 02:27:41
44,0.576851648351648,2.039,-0.421,1.17266607275971,-0.354576923076923,-0.287,-0.411,0.0551880973974248,-9.74292307692308,-9.73,-9.749,0.00526791763660873,SITTING,2019-06-13 02:07:00,2019-06-13 02:02:25,2019-06-13 02:27:41
45,-3.13946564885496,-2.499,-6.771,0.376646034559483,-0.264534351145038,0.766,-4.769,0.48676823260404,-9.35795419847328,-6.675,-14.451,0.547145555976237,SITTING,2019-06-13 02:08:00,2019-06-13 02:02:25,2019-06-13 02:27:41
46,-0.21344578313253,0,-0.421,0.0667336184437432,0.538451807228916,0.651,0.421,0.0482629862855478,9.78962048192771,9.791,9.788,0.000665561332673465,SITTING,2019-06-13 02:09:00,2019-06-13 02:02:25,2019-06-13 02:27:41
47,-0.535244019138756,4.635,-9.155,1.51677787683905,0.384071770334928,3.639,-1.187,0.624134978018211,9.63454066985646,12.576,5.206,0.67502482114017,SITTING,2019-06-13 02:10:00,2019-06-13 02:02:25,2019-06-13 02:27:41
48,-0.244564885496183,0.114,-1.925,0.168846407184237,-0.631450381679389,0.067,-2.26,0.171480755311379,-9.69608396946565,-8.59,-9.893,0.120161944453689,SITTING,2019-06-13 02:11:00,2019-06-13 02:02:25,2019-06-13 02:27:41
49,-0.218850746268657,-0.162,-0.258,0.0202194428866565,-0.60855223880597,-0.545,-0.641,0.0201308474148278,-9.71492537313433,-9.701,-9.73,0.00612326272909924,SITTING,2019-06-13 02:12:00,2019-06-13 02:02:25,2019-06-13 02:27:41
