"","X","mean_x","max_x","min_x","sd_x","mean_y","max_y","min_y","sd_y","mean_z","max_z","min_z","sd_z","act","time","time0_start","time1_finish"
"69",68,0.147971291866029,0.22,0.076,0.0253149229848108,-0.202837320574163,-0.134,-0.249,0.0230683004379138,9.79783253588517,10.218,9.787,0.0618521476352766,"SITTING","2019-06-14 00:03:00","2019-06-14 00:02:06","2019-06-14 00:15:25"
"70",69,-6.22536714975845,0.507,-13.8,4.48370307259384,5.64573913043478,10.506,0.823,2.65029350262633,2.4854347826087,8.648,-1.321,1.93748551747743,"SITTING","2019-06-14 00:05:00","2019-06-14 00:02:06","2019-06-14 00:15:25"
"71",70,-0.051866028708134,1.34,-3.62,0.283946773932971,0.274507177033493,3.112,-0.009,0.273386439643474,6.99784210526316,10.008,6.885,0.49870765575729,"SITTING","2019-06-14 00:08:00","2019-06-14 00:02:06","2019-06-14 00:15:25"
"72",71,0.00552222222222223,7.182,-4.654,1.07765148363179,0.00101111111111109,7.46,-1.465,1.18389378859303,9.68148888888889,11.119,3.792,0.779591201346344,"SITTING","2019-06-14 00:15:00","2019-06-14 00:02:06","2019-06-14 00:15:25"
"73",72,0.196897058823529,0.258,0.143,0.0196081160111732,-0.219411764705882,-0.172,-0.268,0.0227340405847089,9.82089705882353,10.218,9.778,0.101010764326402,"SITTING","2019-06-14 00:18:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"74",73,0.168671361502347,0.229,0.038,0.0403796251691115,0.0274788732394366,0.153,-0.076,0.0366152326102372,9.805,9.805,9.805,0,"SITTING","2019-06-14 00:19:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"75",74,0.168985294117647,0.229,0.076,0.0420197155740865,0.0167647058823529,0.114,-0.038,0.0367793410729848,9.805,9.805,9.805,0,"SITTING","2019-06-14 00:20:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"76",75,0.165920353982301,0.229,0.038,0.0381205436810758,0.0248849557522124,0.114,-0.076,0.0357442153112956,9.805,9.805,9.805,0,"SITTING","2019-06-14 00:21:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"77",76,0.164881481481482,0.306,0.038,0.0414300237471031,0.0284296296296296,0.114,-0.038,0.0342771430970519,9.805,9.805,9.805,0,"SITTING","2019-06-14 00:22:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"78",77,0.16641452991453,0.268,0.076,0.0399894186969251,0.019,0.114,-0.038,0.0354256762923805,9.805,9.805,9.805,0,"SITTING","2019-06-14 00:23:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"79",78,0.16900406504065,0.229,0.076,0.0384045594622517,0.024869918699187,0.114,-0.076,0.0351501640138058,9.805,9.805,9.805,0,"SITTING","2019-06-14 00:24:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"80",79,0.164282051282051,0.229,0.076,0.0401204936562952,0.0212735042735043,0.114,-0.076,0.0383783119931582,9.805,9.805,9.805,0,"SITTING","2019-06-14 00:25:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"81",80,0.161666666666667,0.268,0.076,0.0399872228020575,0.0283661971830986,0.114,-0.114,0.0374865659345413,9.805,9.805,9.805,0,"SITTING","2019-06-14 00:26:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"82",81,0.168435294117647,0.268,0.114,0.0375786309143981,0.0272705882352941,0.114,-0.038,0.0364350002565868,9.805,9.805,9.805,0,"SITTING","2019-06-14 00:27:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"83",82,0.166422413793103,0.268,0.038,0.041519755035617,0.0262068965517241,0.114,-0.076,0.0396625412911087,9.805,9.805,9.805,0,"SITTING","2019-06-14 00:28:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"84",83,0.163431034482759,0.268,0.076,0.0401539729480653,0.0234224137931034,0.114,-0.076,0.0354341413033526,9.805,9.805,9.805,0,"SITTING","2019-06-14 00:29:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"85",84,-0.0235766666666667,2.767,-0.095,0.22307028480301,0.0860766666666666,1.302,-2.93,0.228176860617577,9.80491666666667,10.362,9.797,0.0520450961089082,"SITTING","2019-06-14 00:30:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"86",85,0.159122171945701,0.268,0.076,0.0378942128801571,0.0290588235294118,0.114,-0.038,0.0376324470307036,9.805,9.805,9.805,0,"SITTING","2019-06-14 00:32:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"87",86,-1.74637320574163,4.213,-5.899,1.53537878515173,2.93275119617225,6.972,-4.367,1.39671305602689,8.97263157894737,10.588,6.57,0.710973650624685,"SITTING","2019-06-14 00:33:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"88",87,-0.918063414634146,-0.689,-2.183,0.160365761094507,-0.591653658536585,0.957,-1.417,0.202387688653268,9.74653170731707,9.777,9.719,0.0143412615845149,"SITTING","2019-06-14 00:35:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"89",88,-1.14811707317073,-0.842,-1.455,0.0570167325906461,-0.736892682926829,-0.268,-1.34,0.0867648286197448,9.71134146341464,9.714,9.676,0.00411721491207741,"SITTING","2019-06-14 00:36:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"90",89,0.220596244131455,0.306,0.153,0.0348018160578044,9.71239906103286,9.807,9.615,0.0372575862739825,0.0247793427230047,0.032,0.016,0.0035585593783114,"SITTING","2019-06-14 00:37:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"91",90,0.199173076923077,0.325,0.153,0.0223379585553196,-0.223980769230769,-0.047,-0.335,0.0345119123225452,9.85110576923077,11.013,9.768,0.186832944485974,"SITTING","2019-06-14 00:38:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"92",91,-1.14332867132867,-1.034,-1.225,0.0437920463908167,-0.729524475524475,-0.612,-0.804,0.0383768988919248,9.71141258741259,9.715,9.709,0.0010702683047093,"SITTING","2019-06-14 00:39:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"93",92,0.219386956521739,0.344,0.114,0.0333874019117588,9.70727391304348,9.807,9.615,0.0369298723759534,0.0254391304347826,0.031,0.016,0.00302583333361656,"SITTING","2019-06-14 00:40:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"94",93,0.224618257261411,0.344,0.114,0.0386151351840641,9.7143153526971,9.807,9.615,0.0416589342756061,0.0245933609958506,0.031,0.016,0.00307824989346853,"SITTING","2019-06-14 00:41:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"95",94,0.220541666666667,0.306,0.114,0.0367953719640408,9.71444696969697,9.807,9.615,0.0358883597201925,0.0239507575757576,0.031,0.011,0.00365132396868273,"SITTING","2019-06-14 00:42:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"96",95,-1.14534387351779,-1.034,-1.264,0.0439086842390316,-0.716407114624506,-0.612,-0.804,0.0435379358025063,9.71308695652174,9.717,9.71,0.0013094391088737,"SITTING","2019-06-14 00:43:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"97",96,-1.05637065637066,-0.842,-1.264,0.0750734115390406,-0.757073359073359,-0.651,-0.919,0.0479617744343341,9.71971814671815,9.74,9.71,0.00521715443781418,"SITTING","2019-06-14 00:44:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"98",97,-0.0282098765432099,2.806,-0.095,0.205204154504771,0.129979423868313,3.342,0.028,0.266582929409517,9.80633744855967,10.295,9.797,0.0460824956108902,"SITTING","2019-06-14 00:45:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"99",98,-1.87128187919463,1.494,-8.925,2.23973123110226,4.93108053691275,9.921,1.494,3.29392344205487,5.71585906040268,10.37,-6.273,4.48737517182423,"SITTING","2019-06-14 00:46:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"100",99,2.32609433962264,3.409,0.957,0.453543176399782,0.641683962264151,1.379,0.421,0.153823710038498,9.49249528301887,9.676,9.174,0.099537722856631,"SITTING","2019-06-14 00:47:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
"101",100,-2.69858571428571,2.413,-2.911,0.392646711416675,0.183466666666667,0.536,0,0.0582127046207814,9.41845714285714,9.498,9.375,0.0474544412231108,"SITTING","2019-06-14 00:48:00","2019-06-14 00:17:25","2019-06-14 00:59:23"
