"","X.1","X","mean_x","max_x","min_x","sd_x","mean_y","max_y","min_y","sd_y","mean_z","max_z","min_z","sd_z","act","time","time0_start","time1_finish"
"55",55,54,-1.68946478873239,7.738,-11.291,3.43178074071085,-9.87740845070423,-3.045,-19.604,3.72010869110593,-0.363239436619718,11.195,-8.59,3.45980748624127,"SITTING","2019-06-13 03:38:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"56",56,55,-1.76291333333333,6.56,-12.574,3.16555486729923,-9.93320333333333,-0.076,-19.604,3.97267605341877,-0.53686,12.124,-11.052,3.01747340439327,"SITTING","2019-06-13 03:39:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"57",57,56,-1.78840404040404,5.391,-7.565,2.30090986847392,-9.96576767676768,-3.524,-19.604,2.94945743827048,-0.448191919191919,6.962,-7.843,2.41192350911292,"SITTING","2019-06-13 03:40:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"58",58,57,-4.54868421052631,-3.62,-5.851,0.224332186332148,-9.17263157894737,-7.68,-10.18,0.315797366793967,-1.48845864661654,-0.536,-2.595,0.240251841076356,"SITTING","2019-06-13 03:41:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"59",59,58,-1.26945112781955,4.568,-8.427,2.04738634846153,-7.39490977443609,7.182,-19.604,5.88059759761167,0.993127819548872,13.858,-10.812,4.43180370949003,"SITTING","2019-06-13 03:42:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"60",60,59,0.188926666666667,0.239,0.134,0.0171525115087875,-0.235673333333333,-0.172,-0.287,0.0224438345189781,9.78596,10.113,9.778,0.0294990232818297,"SITTING","2019-06-13 03:43:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"61",61,60,0.643808510638298,2.145,-0.325,0.456615937860915,7.07865957446808,8.025,5.104,0.344656115734015,6.71834042553192,8.37,5.209,0.349708653682869,"SITTING","2019-06-13 03:44:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"62",62,61,3.476,3.476,3.476,0,-5.114,-5.114,-5.114,0,-7.211,-7.211,-7.211,0,"SITTING","2019-06-13 03:45:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"63",63,62,-5.87858,-5.334,-7.594,0.210283779274786,-1.57852,-1.283,-2.863,0.180428279787724,7.93913,8.801,6.665,0.202775424239688,"SITTING","2019-06-13 03:46:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"64",64,63,-3.93194230769231,2.068,-4.185,0.518501162576051,-1.86367307692308,0.162,-2.039,0.17397336918244,-8.82836057692308,-8.801,-9.414,0.0620246155253422,"SITTING","2019-06-13 03:47:00","2019-06-13 03:46:02","2019-06-13 04:00:56"
"65",65,64,-3.91754032258064,-3.917,-3.984,0.00601677761789697,-1.91461290322581,-1.867,-1.915,0.0043105272486426,-8.7643064516129,-8.763,-8.925,0.0145480294641689,"SITTING","2019-06-13 03:48:00","2019-06-13 03:46:02","2019-06-13 04:00:56"
"66",66,65,-2.96356218905473,-2.777,-3.122,0.057986182519494,-3.67063184079602,-3.476,-3.802,0.0490496053102828,-9.04894527363184,-8.878,-9.241,0.0713857968369741,"SITTING","2019-06-13 03:49:00","2019-06-13 03:46:02","2019-06-13 04:00:56"
"67",67,66,-3.917,-3.917,-3.917,0,-1.915,-1.915,-1.915,0,-8.763,-8.763,-8.763,0,"SITTING","2019-06-13 03:50:00","2019-06-13 03:46:02","2019-06-13 04:00:56"
